Contribution,Group,SP
0.518405437,DNA,Anguilla bengalensis
0.481594592,Image,Anguilla bengalensis
0.515116036,DNA,Anguilla bengalensis
0.484883934,Image,Anguilla bengalensis
0.519103646,DNA,Anguilla bengalensis
0.480896324,Image,Anguilla bengalensis
0.561481416,DNA,Anguilla bengalensis
0.438518614,Image,Anguilla bengalensis
0.514363647,DNA,Anguilla bengalensis
0.485636383,Image,Anguilla bengalensis
0.515795171,DNA,Anguilla bengalensis
0.484204769,Image,Anguilla bengalensis
0.504692197,DNA,Anguilla bengalensis
0.495307773,Image,Anguilla bengalensis
0.535977066,DNA,Anguilla bengalensis
0.464022905,Image,Anguilla bengalensis
0.51246345,DNA,Anguilla bengalensis
0.487536579,Image,Anguilla bengalensis
0.522505641,DNA,Anguilla bengalensis
0.477494389,Image,Anguilla bengalensis
0.610549748,DNA,Anguilla bicolor
0.389450252,Image,Anguilla bicolor
0.608862877,DNA,Anguilla bicolor
0.391137123,Image,Anguilla bicolor
0.607801378,DNA,Anguilla bicolor
0.392198652,Image,Anguilla bicolor
0.624586701,DNA,Anguilla bicolor
0.375413269,Image,Anguilla bicolor
0.589722872,DNA,Anguilla bicolor
0.410277128,Image,Anguilla bicolor
0.634884775,DNA,Anguilla bicolor
0.365115225,Image,Anguilla bicolor
0.593446195,DNA,Anguilla bicolor
0.406553775,Image,Anguilla bicolor
0.741538167,DNA,Anguilla bicolor
0.258461863,Image,Anguilla bicolor
0.623067737,DNA,Anguilla bicolor
0.376932263,Image,Anguilla bicolor
0.610360384,DNA,Anguilla bicolor
0.389639586,Image,Anguilla bicolor
0.567271888,DNA,Anguilla marmorata
0.432728142,Image,Anguilla marmorata
0.708665192,DNA,Anguilla marmorata
0.291334748,Image,Anguilla marmorata
0.673553348,DNA,Anguilla marmorata
0.326446623,Image,Anguilla marmorata
0.547134221,DNA,Anguilla marmorata
0.452865779,Image,Anguilla marmorata
0.681990802,DNA,Anguilla marmorata
0.318009228,Image,Anguilla marmorata
0.541279137,DNA,Anguilla marmorata
0.458720863,Image,Anguilla marmorata
0.561210454,DNA,Anguilla marmorata
0.438789517,Image,Anguilla marmorata
0.569693446,DNA,Anguilla marmorata
0.430306494,Image,Anguilla marmorata
0.559684157,DNA,Anguilla marmorata
0.440315843,Image,Anguilla marmorata
0.536966145,DNA,Anguilla marmorata
0.463033855,Image,Anguilla marmorata
